cluster,count,percent,pct_<30,pct_>30,pct_No
0,23672,23.26,13.48,38.75,0.0
1,23842,23.43,10.43,36.34,0.0
2,16261,15.98,11.62,34.01,0.0
3,23403,23.0,9.6,30.88,0.0
4,14588,14.33,10.58,33.94,0.0
