cluster,count,percent,pct_<30,pct_>30,pct_No
0,23403,23.0,9.6,30.88,0.0
1,12218,12.01,13.9,38.89,0.0
2,16261,15.98,11.62,34.01,0.0
3,20205,19.85,11.47,37.46,0.0
4,15091,14.83,11.02,36.54,0.0
5,14588,14.33,10.58,33.94,0.0
