k,silhouette,davies_bouldin
2,0.20379066812435445,1.8921271438881067
3,0.1995002181173246,1.9326713405861582
4,0.20551126957287238,1.8614827825128035
5,0.21319760059616805,1.8797279375792986
6,0.19326132445104124,1.989416938716458
7,0.18603724108827382,2.0071014426385996
8,0.17687499883637212,2.0526065264652864
