cluster,count,percent,pct_<30,pct_>30,pct_No
0,15537,15.27,9.71,33.84,0.0
1,23403,23.0,9.6,30.88,0.0
2,31474,30.93,12.87,38.17,0.0
3,16261,15.98,11.62,34.01,0.0
4,15091,14.83,11.02,36.54,0.0
